Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions,Manufacturer,Approval Date,Availability,NDC,Price
97,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,15 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,30-10-2021,Prescription,78901234582,6.5
98,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,12-03-2022,Prescription,89012345693,3.99
99,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,18-09-2021,Prescription,90123456704,3.5
100,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,28-02-2022,Prescription,12345678915,7.25
101,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,100 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,10-10-2021,Prescription,12345678914,4.99
102,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,200 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,05-01-2022,Prescription,23456789025,7.99
103,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,20 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,20-02-2022,Prescription,34567890136,6.25
104,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,250 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,15-11-2021,Prescription,45678901247,19.99
105,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,80 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,01-03-2022,Prescription,56789012358,7.99
106,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,750 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Diarrhea,Allergy to fluoroquinolones,Taking with dairy products: decreased absorption,Category C,Room temperature,MediPharm,28-09-2021,Prescription,67890123469,6.5
107,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Diuretic / ACE Inhibitor,Hypertension,Tablet,25 mg / 20 mg,Oral,Increases urine output / Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Kidney problems: use with caution,Take with food or milk,Category D,Room temperature,HeartHealth,10-02-2022,Prescription,78901234580,9.75
108,Ondansetron,Ondansetron,Antiemetic,Nausea and Vomiting,Tablet,4 mg,Oral,Blocks serotonin receptors,Drowsiness, Constipation,Long QT syndrome: use with caution,Take as directed by healthcare provider,Category B,Room temperature,NauseaRelief,22-10-2021,Prescription,89012345691,5.25
109,Amiodarone,Amiodarone,Antiarrhythmic,Arrhythmias,Tablet,400 mg,Oral,Prolongs action potential duration,Photosensitivity, Lung problems,Heart problems: use with caution,Take with meals,Category D,Room temperature,CardioCare,10-03-2022,Prescription,90123456702,8.5
110,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Combined Oral Contraceptive,Contraception,Pill,3 mg / 0.02 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature,Women'sHealth,15-09-2021,Prescription,12345678913,9.99
111,Warfarin,Warfarin,Anticoagulant,Blood Clots,Tablet,7.5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding risk, Interactions with many drugs,Regular monitoring of INR required,Do not change diet drastically,Category X,Room temperature,HealthMeds,18-02-2022,Prescription,23456789024,4.75
112,Propranolol,Propranolol,Beta Blocker,Hypertension,Tablet,60 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature,CardioPharm,05-12-2021,Prescription,34567890135,6.25
113,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,30 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,20-03-2022,Prescription,45678901246,8.99
114,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,10-09-2021,Prescription,56789012357,5.5
115,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,50 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,28-02-2022,Prescription,67890123468,4.25
116,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,20 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,10-10-2021,Prescription,78901234579,7.25
117,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,125 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,05-01-2022,Prescription,89012345690,3.99
118,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,300 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,20-11-2021,Prescription,90123456701,9.75
119,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,40 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,15-03-2022,Prescription,12345678912,6.25
120,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,500 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,22-10-2021,Prescription,23456789023,17.99
121,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,10 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,10-02-2022,Prescription,34567890134,5.99
122,Amoxicillin / Clavulanate,Amoxicillin / Clavulanate,Combination Antibiotic,Bacterial Infections,Tablet,875 mg / 125 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Diarrhea,Allergic reactions: use with caution,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,15-11-2021,Prescription,45678901245,14.99
123,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,20 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,01-03-2022,Prescription,56789012356,7.25
124,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,200 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,05-04-2022,Prescription,67890123467,19.99
125,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,20-11-2021,OTC,78901234578,8.5
126,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,50 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature,CardioPharm,18-02-2022,Prescription,90123456700,4.75
127,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,10 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionEase,30-09-2021,Prescription,12345678911,6.25
128,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,10-03-2022,OTC,23456789022,5.5
129,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,100 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature,HeartHealth,15-10-2021,Prescription,34567890133,7.99
130,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,28-02-2022,Prescription,45678901244,8.5
131,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,15-11-2021,OTC,56789012355,4.99
132,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,5 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature,AllergyRelief,10-01-2022,OTC,67890123466,3.75
133,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature,CardioPharm,20-12-2021,Prescription,78901234577,6.99
134,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,50 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,30-01-2022,Prescription,89012345688,4.25
135,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,30 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,05-10-2021,Prescription,90123456699,5.99
136,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,150 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature,MoodEase,15-02-2022,Prescription,12345678910,6.75
137,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,20-11-2021,Prescription,23456789021,3.99
138,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,1 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature,MentalWellness,01-03-2022,Prescription,34567890132,4.5
139,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature,MoodEase,15-09-2021,Prescription,45678901243,5.25
140,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,12.5 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,10-02-2022,Prescription,56789012354,3.5
141,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,15 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,20-11-2021,Prescription,67890123465,6.75
142,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,150 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,05-01-2022,Prescription,78901234576,3.99
143,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,01-03-2022,Prescription,89012345687,8.5
144,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,22-10-2021,Prescription,90123456698,6.25
145,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,250 mcg / 25 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,15-01-2022,Prescription,12345678909,14.99
146,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,30-11-2021,Prescription,23456789020,7.99
147,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,20-02-2022,Prescription,34567890131,9.99
148,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,05-12-2021,Prescription,45678901242,5.75
149,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,90 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,28-02-2022,Prescription,56789012353,12.99
150,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,10 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,10-09-2021,OTC,67890123464,3.75
151,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature,CardioPharm,15-01-2022,Prescription,78901234575,3.99
152,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,30-11-2021,Prescription,89012345686,4.5
153,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,10-03-2022,OTC,90123456697,5.99
154,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,50 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature,HeartHealth,15-11-2021,Prescription,12345678908,7.5
155,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,150 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,10-02-2022,Prescription,23456789019,8.25
156,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,75 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,22-09-2021,OTC,34567890130,3.99
157,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature,AllergyRelief,05-03-2022,OTC,45678901241,4.75
158,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,12.5 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature,CardioPharm,15-12-2021,Prescription,56789012352,5.99
159,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,100 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,28-02-2022,Prescription,67890123463,7.25
160,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,10-10-2021,Prescription,78901234574,6.99
161,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,300 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature,MoodEase,22-01-2022,Prescription,89012345685,9.5
162,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,05-12-2021,Prescription,90123456696,4.99
163,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,2 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature,MentalWellness,28-02-2022,Prescription,12345678907,5.99
164,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature,MoodEase,15-10-2021,Prescription,23456789018,4.25
165,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,28-02-2022,Prescription,34567890129,3.75
166,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,30-09-2021,Prescription,45678901240,5.5
167,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,75 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,10-01-2022,Prescription,56789012351,2.99
168,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,50 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,15-11-2021,Prescription,67890123462,7.75
169,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,5 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,01-03-2022,Prescription,78901234573,4.5
170,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,100 mcg / 10 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,10-09-2021,Prescription,89012345684,15.99
171,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,80 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,15-02-2022,Prescription,90123456695,9.99
172,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,125 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,30-11-2021,Prescription,12345678906,8.75
173,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,2.5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,15-03-2022,Prescription,23456789017,6.5
174,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,90 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,22-09-2021,Prescription,34567890128,18.99
175,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,28-02-2022,OTC,45678901239,6.25
176,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,100 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature,CardioPharm,10-11-2021,Prescription,56789012350,5.99
177,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,05-03-2022,Prescription,67890123461,6.75
178,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,15-10-2021,OTC,78901234572,5.5
179,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,25 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature,HeartHealth,28-01-2022,Prescription,89012345683,7.25
180,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,05-11-2021,Prescription,90123456694,8.99
181,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,15-02-2022,OTC,12345678905,4.5
182,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature,AllergyRelief,30-12-2021,OTC,23456789016,3.75
183,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,6.25 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature,CardioPharm,20-03-2022,Prescription,34567890127,4.99
184,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,150 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,10-10-2021,Prescription,45678901238,5.5
185,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,90 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,28-01-2022,Prescription,56789012349,6.75
186,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,450 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature,MoodEase,20-11-2021,Prescription,67890123460,9.25
187,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,60 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,10-02-2022,Prescription,78901234571,5.99
188,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,2 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature,MentalWellness,15-12-2021,Prescription,89012345682,6.5
189,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature,MoodEase,01-03-2022,Prescription,90123456693,7.99
190,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,50 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,22-10-2021,Prescription,12345678904,3.99
191,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,20 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,15-02-2022,Prescription,23456789015,8.5
